[trace 0]: recovering s[0][0], m = m1, branching...
[trace 1]: recovering s[0][0], m = m0, recovered cof_value = 0
[trace 2]: recovering s[0][1], m = m1, branching...
[trace 3]: recovering s[0][1], m = m0, recovered cof_value = 0
[trace 4]: recovering s[0][2], m = m0, branching...
[trace 5]: recovering s[0][2], m = m1, recovered cof_value = 1
[trace 6]: recovering s[0][3], m = m1, branching...
[trace 7]: recovering s[0][3], m = m0, recovered cof_value = 0
[trace 8]: recovering s[0][4], m = m1, branching...
[trace 9]: recovering s[0][4], m = m1, branching...
[trace 10]: recovering s[0][4], m = m1, branching...
[trace 11]: recovering s[0][4], m = m0, recovered cof_value = -2
[trace 12]: recovering s[0][5], m = m1, branching...
[trace 13]: recovering s[0][5], m = m1, branching...
[trace 14]: recovering s[0][5], m = m0, recovered cof_value = -1
[trace 15]: recovering s[0][6], m = m1, branching...
[trace 16]: recovering s[0][6], m = m0, recovered cof_value = 0
[trace 17]: recovering s[0][7], m = m1, branching...
[trace 18]: recovering s[0][7], m = m0, recovered cof_value = 0
[trace 19]: recovering s[0][8], m = m1, branching...
[trace 20]: recovering s[0][8], m = m0, recovered cof_value = 0
[trace 21]: recovering s[0][9], m = m0, branching...
[trace 22]: recovering s[0][9], m = m0, branching...
[trace 23]: recovering s[0][9], m = m1, recovered cof_value = 2
[trace 24]: recovering s[0][10], m = m1, branching...
[trace 25]: recovering s[0][10], m = m1, branching...
[trace 26]: recovering s[0][10], m = m1, branching...
[trace 27]: recovering s[0][10], m = m0, recovered cof_value = -2
[trace 28]: recovering s[0][11], m = m0, branching...
[trace 29]: recovering s[0][11], m = m1, recovered cof_value = 1
[trace 30]: recovering s[0][12], m = m1, branching...
[trace 31]: recovering s[0][12], m = m1, branching...
[trace 32]: recovering s[0][12], m = m0, recovered cof_value = -1
[trace 33]: recovering s[0][13], m = m1, branching...
[trace 34]: recovering s[0][13], m = m0, recovered cof_value = 0
[trace 35]: recovering s[0][14], m = m1, branching...
[trace 36]: recovering s[0][14], m = m0, recovered cof_value = 0
[trace 37]: recovering s[0][15], m = m0, branching...
[trace 38]: recovering s[0][15], m = m1, recovered cof_value = 1
[trace 39]: recovering s[0][16], m = m1, branching...
[trace 40]: recovering s[0][16], m = m1, branching...
[trace 41]: recovering s[0][16], m = m1, branching...
[trace 42]: recovering s[0][16], m = m0, recovered cof_value = -2
[trace 43]: recovering s[0][17], m = m1, branching...
[trace 44]: recovering s[0][17], m = m1, branching...
[trace 45]: recovering s[0][17], m = m0, recovered cof_value = -1
[trace 46]: recovering s[0][18], m = m1, branching...
[trace 47]: recovering s[0][18], m = m0, recovered cof_value = 0
[trace 48]: recovering s[0][19], m = m0, branching...
[trace 49]: recovering s[0][19], m = m0, branching...
[trace 50]: recovering s[0][19], m = m1, recovered cof_value = 2
[trace 51]: recovering s[0][20], m = m0, branching...
[trace 52]: recovering s[0][20], m = m1, recovered cof_value = 1
[trace 53]: recovering s[0][21], m = m0, branching...
[trace 54]: recovering s[0][21], m = m1, recovered cof_value = 1
[trace 55]: recovering s[0][22], m = m0, branching...
[trace 56]: recovering s[0][22], m = m0, branching...
[trace 57]: recovering s[0][22], m = m1, recovered cof_value = 2
[trace 58]: recovering s[0][23], m = m0, branching...
[trace 59]: recovering s[0][23], m = m0, branching...
[trace 60]: recovering s[0][23], m = m1, recovered cof_value = 2
[trace 61]: recovering s[0][24], m = m0, branching...
[trace 62]: recovering s[0][24], m = m1, recovered cof_value = 1
[trace 63]: recovering s[0][25], m = m1, branching...
[trace 64]: recovering s[0][25], m = m1, branching...
[trace 65]: recovering s[0][25], m = m1, branching...
[trace 66]: recovering s[0][25], m = m0, recovered cof_value = -2
[trace 67]: recovering s[0][26], m = m1, branching...
[trace 68]: recovering s[0][26], m = m0, recovered cof_value = 0
[trace 69]: recovering s[0][27], m = m1, branching...
[trace 70]: recovering s[0][27], m = m0, recovered cof_value = 0
[trace 71]: recovering s[0][28], m = m1, branching...
[trace 72]: recovering s[0][28], m = m0, recovered cof_value = 0
[trace 73]: recovering s[0][29], m = m0, branching...
[trace 74]: recovering s[0][29], m = m1, recovered cof_value = 1
[trace 75]: recovering s[0][30], m = m1, branching...
[trace 76]: recovering s[0][30], m = m0, recovered cof_value = 0
[trace 77]: recovering s[0][31], m = m1, branching...
[trace 78]: recovering s[0][31], m = m1, branching...
[trace 79]: recovering s[0][31], m = m0, recovered cof_value = -1
[trace 80]: recovering s[0][32], m = m0, branching...
[trace 81]: recovering s[0][32], m = m1, recovered cof_value = 1
[trace 82]: recovering s[0][33], m = m0, branching...
[trace 83]: recovering s[0][33], m = m1, recovered cof_value = 1
[trace 84]: recovering s[0][34], m = m0, branching...
[trace 85]: recovering s[0][34], m = m1, recovered cof_value = 1
[trace 86]: recovering s[0][35], m = m1, branching...
[trace 87]: recovering s[0][35], m = m1, branching...
[trace 88]: recovering s[0][35], m = m1, branching...
[trace 89]: recovering s[0][35], m = m0, recovered cof_value = -2
[trace 90]: recovering s[0][36], m = m1, branching...
[trace 91]: recovering s[0][36], m = m1, branching...
[trace 92]: recovering s[0][36], m = m0, recovered cof_value = -1
[trace 93]: recovering s[0][37], m = m1, branching...
[trace 94]: recovering s[0][37], m = m1, branching...
