recovery_query,ori_err_cof,query_with_vote,err_cof
1322,62,9310,1
1291,60,9121,0
1301,53,9191,1
1283,57,9072,0
1318,56,9268,1
1313,51,9142,1
1294,53,9254,0
1321,62,9345,1
1319,53,9289,0
1311,59,9226,0
1305,73,9233,0
1296,70,9100,0
1296,61,9093,0
1302,67,9205,0
1302,62,9030,0
1304,55,9212,1
1290,64,9128,1
1300,55,9093,0
1286,60,9072,0
1291,74,9149,0
1306,44,9212,1
1299,65,9128,1
1320,77,9282,0
1292,66,9121,0
1294,62,9156,0
1300,62,9205,0
1288,55,9142,0
1277,59,8995,0
1298,72,9191,0
1287,70,9072,0
1304,68,9198,0
1312,63,9289,0
1275,54,9079,0
1320,60,9296,0
1295,62,9065,1
1274,58,9002,0
1331,65,9394,1
1287,59,9079,0
1302,76,9135,0
1300,51,9135,1
1293,65,9142,0
1317,61,9366,0
1293,55,9086,0
1309,69,9275,0
1314,87,9359,0
1315,71,9275,0
1306,62,9198,0
1299,67,9149,0
1289,65,9149,0
1298,65,9142,0
1290,60,9100,0
1325,47,9380,0
1300,57,9170,0
1283,68,9079,0
1311,79,9296,0
1301,77,9142,0
1315,57,9303,2
1299,73,9198,0
1303,62,9121,0
1325,68,9401,0
1285,62,9016,1
1328,63,9275,0
1305,70,9240,0
1304,57,9212,0
1293,69,9072,0
1301,63,9233,0
1278,58,9100,0
1295,63,9114,0
1299,66,9107,0
1304,67,9233,0
1330,61,9373,0
1276,49,8939,0
1289,84,9093,0
1296,58,9191,1
1292,63,9149,0
1287,60,9072,0
1310,55,9247,0
1317,72,9233,0
1309,62,9261,0
1289,57,9149,0
1301,66,9149,0
1289,65,9100,0
1318,70,9233,0
1298,64,9093,0
1310,62,9149,1
1301,74,9163,2
1307,71,9240,0
1289,68,9093,0
1305,67,9233,0
1315,63,9275,0
1300,66,9184,0
1270,66,8981,0
1317,70,9247,2
1317,70,9142,0
1306,51,9205,1
1311,50,9233,1
1297,60,9086,0
1286,68,9002,0
1271,57,9100,0
1289,61,9100,0
1281,60,8995,1
1297,66,9156,1
1292,65,9135,0
1308,75,9268,0
1323,60,9261,1
1305,54,9142,0
1281,67,9107,0
1292,62,9009,0
1311,57,9261,2
1319,56,9310,0
1299,67,9128,0
1320,72,9226,0
1305,68,9156,3
1321,67,9240,0
1271,53,8946,1
1316,57,9226,1
1310,61,9289,0
1292,61,8974,0
1293,64,9128,0
1291,62,9100,0
1312,61,9247,0
1291,65,9128,0
1294,65,9170,0
1320,80,9191,1
1325,66,9310,0
1288,67,9086,0
1292,62,9142,0
1281,71,9002,1
1345,67,9471,0
1317,57,9219,1
1281,66,9058,0
1320,73,9352,1
1312,51,9163,0
1288,51,9093,0
1350,55,9485,0
1334,75,9268,0
1297,55,9198,0
1325,46,9282,0
1314,62,9359,0
1276,56,9086,0
1289,61,9114,0
1282,57,8911,0
1266,59,8869,0
1311,62,9282,0
1300,65,9121,0
1313,64,9268,0
1282,58,9058,0
1309,58,9191,0
1333,65,9324,1
1296,60,9135,0
1308,55,9128,0
1307,69,9184,0
1283,72,9121,0
1316,58,9240,0
1301,62,9051,1
1306,62,9114,1
1311,64,9247,0
1296,60,9177,1
1296,61,9198,0
1303,72,9142,0
1320,80,9303,0
1272,62,8960,0
1319,64,9296,0
1294,74,9212,1
1302,72,9121,0
1315,67,9247,0
1302,67,9149,0
1310,55,9226,1
1311,67,9233,1
1291,52,9114,0
1299,53,9212,1
1299,62,9261,0
1286,76,9086,0
1306,68,9289,1
1309,60,9289,0
1266,66,8918,0
1282,59,9156,0
1294,60,9107,2
1313,66,9247,0
1298,48,9072,0
1319,56,9212,0
1291,57,9065,1
1308,67,9240,0
1292,58,9107,0
1287,52,9037,0
1278,52,8981,0
1298,67,9247,1
1317,67,9324,1
1307,62,9240,1
1319,60,9233,0
1281,61,9107,0
1306,62,9135,0
1326,69,9275,0
1330,67,9310,0
1295,58,9093,0
1278,69,9079,0
1278,58,8981,0
1303,60,9184,0
1289,64,9107,0
1342,60,9422,0
1299,72,9219,0
1311,63,9226,0
1298,57,9177,0
1305,69,9268,0
1298,73,9261,0
1317,66,9240,0
1304,68,9128,1
1289,63,9051,0
1303,55,9177,0
1302,56,9212,0
1291,66,9037,0
1297,57,9100,0
1285,65,9135,0
1299,56,9135,0
1297,68,9128,0
1321,53,9219,0
1308,65,9170,0
1308,68,9275,0
1305,63,9219,0
1287,55,9128,0
1284,51,9100,0
1316,53,9275,1
1308,69,9289,0
1296,66,9198,0
1314,50,9247,1
1307,50,9114,0
1296,70,9149,0
1301,56,9128,1
1301,54,9135,1
1308,63,9128,0
1303,61,9114,0
1287,67,9121,0
1293,64,9163,0
1297,68,9107,2
1308,58,9296,0
1287,60,9142,1
1280,60,8981,0
1337,63,9373,1
1278,59,9072,0
1284,70,9093,1
1299,67,9212,0
1289,58,9051,0
1308,68,9254,0
1306,53,9324,0
1304,65,9205,0
1280,50,9002,0
1285,63,9149,0
1314,61,9275,0
1272,63,8981,0
1306,67,9233,0
1270,58,8953,0
1333,59,9338,0
1285,70,9030,0
1304,71,9247,2
1292,60,9184,0
1325,54,9317,0
1297,61,9226,0
1316,70,9219,1
1312,68,9261,0
1313,61,9261,0
1329,56,9401,0
1307,66,9247,0
1270,59,9023,0
1309,54,9156,0
1289,58,9156,0
1282,64,9065,0
1307,65,9219,0
1302,69,9177,2
1298,57,9191,0
1300,57,9128,0
1322,49,9303,0
1290,55,9016,2
1308,67,9282,0
1300,62,9198,0
1304,64,9142,0
1285,58,9023,0
1302,72,9205,0
1312,60,9240,0
1324,68,9268,0
1273,68,8981,1
1288,65,9121,0
1307,68,9233,0
1303,46,9219,0
1288,55,8981,0
1293,64,9044,1
1275,57,8897,0
1330,64,9415,1
1288,52,9072,0
1312,55,9191,0
1307,53,9177,0
1277,57,9072,1
1293,60,9107,0
1309,52,9261,0
1276,53,9030,0
1307,56,9149,0
1305,60,9156,0
1304,60,9233,0
