recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1322,62,1208,1478,0,4008
1291,60,1212,1518,0,4021
1301,53,1204,1392,0,3897
1283,57,1184,1345,0,3812
1318,56,1174,1275,0,3767
1313,51,1170,1264,0,3747
1294,53,1156,1264,0,3714
1321,62,1160,1369,0,3850
1319,53,1214,1498,0,4031
1311,59,1294,1481,0,4086
1305,73,1160,1390,0,3855
1296,70,1232,1428,0,3956
1296,61,1168,1301,0,3765
1302,67,1230,1577,0,4109
1302,62,1200,1390,0,3892
1304,55,1158,1255,0,3717
1290,64,1222,1487,0,3999
1300,55,1122,1141,0,3563
1286,60,1164,1255,0,3705
1291,74,1220,1563,0,4074
1306,44,1128,1042,0,3476
1299,65,1174,1474,0,3947
1320,77,1188,1536,0,4044
1292,66,1176,1368,0,3836
1294,62,1204,1450,0,3948
1300,62,1226,1455,0,3981
1288,55,1168,1298,0,3754
1277,59,1176,1328,1,3781
1298,72,1238,1461,0,3997
1287,70,1126,1159,0,3572
1304,68,1166,1429,0,3899
1312,63,1188,1397,0,3897
1275,54,1152,1195,0,3622
1320,60,1176,1328,0,3824
1295,62,1138,1147,0,3580
1274,58,1210,1490,0,3974
1331,65,1202,1510,0,4043
1287,59,1180,1266,0,3733
1302,76,1224,1534,0,4060
1300,51,1148,1238,0,3686
1293,65,1138,1233,0,3664
1317,61,1190,1488,0,3995
1293,55,1170,1309,0,3772
1309,69,1212,1407,0,3928
1314,87,1308,2023,1,4645
1315,71,1206,1406,0,3927
1306,62,1162,1255,0,3723
1299,67,1178,1487,2,3964
1289,65,1218,1455,0,3962
1298,65,1162,1441,0,3901
1290,60,1256,1693,0,4239
1325,47,1102,1039,0,3466
1300,57,1182,1311,0,3793
1283,68,1168,1450,0,3901
1311,79,1188,1469,0,3968
1301,77,1166,1371,0,3838
1315,57,1184,1527,0,4026
1299,73,1206,1456,0,3961
1303,62,1164,1261,0,3728
1325,68,1170,1469,0,3964
1285,62,1216,1448,0,3949
1328,63,1184,1397,0,3909
1305,70,1182,1469,0,3956
1304,57,1184,1416,0,3904
1293,69,1134,1119,2,3546
1301,63,1158,1238,0,3697
1278,58,1206,1312,0,3796
1295,63,1176,1398,1,3869
1299,66,1148,1273,0,3720
1304,67,1170,1369,0,3843
1330,61,1180,1498,0,4008
1276,49,1126,1063,0,3465
1289,84,1216,1559,1,4064
1296,58,1210,1450,0,3956
1292,63,1190,1412,1,3894
1287,60,1190,1412,0,3889
1310,55,1156,1160,0,3626
1317,72,1196,1535,0,4048
1309,62,1160,1320,0,3789
1289,57,1188,1380,0,3857
1301,66,1208,1492,0,4001
1289,65,1234,1584,0,4107
1318,70,1170,1435,0,3923
1298,64,1152,1297,0,3747
1310,62,1234,1454,1,3998
1301,74,1172,1485,0,3958
1307,71,1180,1473,0,3960
1289,68,1178,1431,0,3898
1305,67,1142,1373,0,3820
1315,63,1236,1482,0,4033
1300,66,1194,1451,0,3945
1270,66,1200,1366,1,3836
1317,70,1216,1639,0,4172
1317,70,1218,1464,0,3999
1306,51,1156,1275,0,3737
1311,50,1148,1137,0,3596
1297,60,1164,1324,0,3785
1286,68,1148,1222,0,3656
1271,57,1192,1288,0,3751
1289,61,1186,1369,0,3844
1281,60,1144,1190,0,3615
1297,66,1122,1244,0,3663
1292,65,1188,1472,0,3952
1308,75,1136,1346,0,3790
1323,60,1184,1283,0,3790
1305,54,1138,1159,0,3602
1281,67,1164,1239,1,3684
1292,62,1156,1266,0,3714
1311,57,1192,1413,0,3916
1319,56,1258,1523,0,4100
1299,67,1160,1290,0,3749
1320,72,1158,1247,0,3725
1305,68,1178,1373,0,3856
1321,67,1168,1298,0,3787
1271,53,1164,1132,0,3567
1316,57,1158,1170,1,3644
1310,61,1212,1463,0,3985
1292,61,1168,1262,0,3722
1293,64,1220,1521,1,4034
1291,62,1180,1560,0,4031
1312,61,1184,1434,0,3930
1291,65,1200,1467,0,3958
1294,65,1172,1476,0,3942
1320,80,1184,1452,0,3956
1325,66,1176,1415,0,3916
1288,67,1218,1531,1,4037
1292,62,1146,1263,0,3701
1281,71,1256,1599,0,4136
1345,67,1170,1300,0,3815
1317,57,1158,1246,0,3721
1281,66,1264,1471,1,4016
1320,73,1164,1395,0,3879
1312,51,1226,1549,0,4087
1288,51,1146,1190,0,3624
1350,55,1148,1344,0,3842
1334,75,1204,1438,0,3976
1297,55,1164,1415,1,3876
1325,46,1116,1053,0,3494
1314,62,1118,1107,0,3539
1276,56,1198,1413,0,3887
1289,61,1178,1343,0,3810
1282,57,1192,1302,0,3776
1266,59,1158,1231,1,3655
1311,62,1198,1300,1,3809
1300,65,1162,1335,0,3797
1313,64,1152,1302,0,3767
1282,58,1182,1245,0,3709
1309,58,1170,1413,0,3892
1333,65,1174,1355,0,3862
1296,60,1222,1378,0,3896
1308,55,1188,1309,0,3805
1307,69,1168,1465,0,3940
1283,72,1156,1446,0,3885
1316,58,1182,1511,0,4009
1301,62,1200,1393,1,3894
1306,62,1256,1475,0,4037
1311,64,1184,1409,0,3904
1296,60,1148,1169,0,3613
1296,61,1228,1360,0,3884
1303,72,1198,1507,0,4008
1320,80,1268,1674,1,4262
1272,62,1236,1409,0,3917
1319,64,1156,1418,0,3893
1294,74,1216,1565,0,4075
1302,72,1214,1500,0,4016
1315,67,1188,1449,0,3952
1302,67,1220,1370,0,3892
1310,55,1210,1343,0,3863
1311,67,1192,1541,0,4044
1291,52,1180,1261,0,3732
1299,53,1204,1440,0,3943
1299,62,1140,1181,0,3620
1286,76,1190,1409,0,3885
1306,68,1164,1377,0,3847
1309,60,1212,1344,1,3865
1266,66,1168,1246,0,3680
1282,59,1188,1349,0,3819
1294,60,1176,1256,0,3726
1313,66,1172,1370,2,3855
1298,48,1128,971,0,3397
1319,56,1210,1439,0,3968
1291,57,1194,1363,1,3848
1308,67,1174,1306,0,3788
1292,58,1194,1351,0,3837
1287,52,1192,1192,0,3671
1278,52,1166,1261,0,3705
1298,67,1164,1271,0,3733
1317,67,1286,1683,0,4286
1307,62,1196,1398,0,3901
1319,60,1174,1383,0,3876
1281,61,1196,1409,0,3886
1306,62,1196,1370,0,3872
1326,69,1176,1274,0,3776
1330,67,1194,1493,0,4017
1295,58,1214,1297,0,3806
1278,69,1180,1301,1,3759
1278,58,1212,1330,1,3820
1303,60,1258,1604,0,4165
1289,64,1204,1457,0,3950
1342,60,1182,1366,0,3890
1299,72,1242,1511,0,4052
1311,63,1156,1420,0,3887
1298,57,1206,1467,2,3971
1305,69,1136,1360,0,3801
1298,73,1198,1402,0,3898
1317,66,1148,1237,0,3702
1304,68,1174,1370,0,3848
1289,63,1162,1340,0,3791
1303,55,1150,1208,0,3661
1302,56,1178,1324,0,3804
1291,66,1132,1152,0,3575
1297,57,1140,1254,0,3691
1285,65,1170,1398,0,3853
1299,56,1154,1275,0,3728
1297,68,1196,1506,0,3999
1321,53,1210,1386,0,3917
1308,65,1196,1202,0,3706
1308,68,1198,1343,0,3849
1305,63,1242,1547,0,4094
1287,55,1158,1350,0,3795
1284,51,1148,1264,1,3696
1316,53,1170,1304,0,3790
1308,69,1222,1610,0,4140
1296,66,1224,1586,0,4106
1314,50,1134,1117,0,3565
1307,50,1142,1120,0,3569
1296,70,1268,1605,0,4169
1301,56,1184,1285,0,3770
1301,54,1240,1367,0,3908
1308,63,1192,1364,1,3864
1303,61,1144,1308,0,3755
1287,67,1158,1374,0,3819
1293,64,1242,1580,0,4115
1297,68,1154,1501,0,3952
