recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1329,4,256,56,0,1641
1303,3,256,30,0,1589
1311,7,256,91,1,1658
1295,5,256,50,0,1601
1325,5,256,53,0,1634
1306,4,256,37,0,1599
1318,9,256,99,1,1673
1335,2,256,33,0,1624
1327,1,256,28,1,1611
1318,6,256,69,0,1643
1316,8,256,72,1,1644
1293,10,256,117,0,1666
1299,5,256,81,0,1636
1313,8,256,91,0,1660
1288,7,256,79,0,1623
1313,3,256,40,0,1609
1307,11,256,143,0,1706
1299,5,256,61,2,1616
1295,6,256,67,0,1618
1308,5,256,59,0,1623
1316,8,256,104,2,1676
1307,6,256,83,1,1646
1322,5,256,72,0,1650
1306,5,256,57,1,1619
1303,3,256,33,0,1592
1315,5,256,40,1,1611
1303,9,256,91,1,1650
1284,5,256,82,1,1622
1312,5,256,42,2,1610
1291,9,256,100,0,1647
1316,3,256,19,1,1591
1323,5,256,55,0,1634
1299,8,256,102,0,1657
1328,6,256,64,0,1648
1296,2,256,19,0,1571
1286,5,256,88,0,1630
1341,6,256,71,0,1668
1297,0,256,12,0,1565
1305,6,256,64,0,1625
1305,5,256,55,0,1616
1305,5,256,65,0,1626
1336,5,256,66,0,1658
1297,6,256,92,2,1645
1323,5,256,79,0,1658
1335,7,256,74,0,1665
1322,11,256,121,2,1699
1308,9,256,94,0,1658
1305,6,256,50,1,1611
1300,5,256,63,1,1619
1306,4,256,53,0,1615
1297,8,256,122,0,1675
1338,3,256,59,0,1653
1306,5,256,51,2,1613
1295,6,256,99,1,1650
1330,11,256,111,0,1697
1306,4,256,45,0,1607
1331,8,256,83,0,1670
1308,5,256,53,0,1617
1299,6,256,51,1,1606
1338,8,256,86,0,1680
1290,10,256,105,1,1651
1321,9,256,84,1,1661
1315,6,256,74,1,1645
1318,8,256,98,0,1672
1293,8,256,69,1,1618
1317,6,256,61,1,1634
1298,10,256,87,0,1641
1300,7,256,75,1,1631
1300,2,256,31,0,1587
1313,9,256,97,0,1666
1338,5,256,83,1,1677
1274,3,256,40,0,1570
1297,11,256,114,0,1667
1309,11,256,131,1,1696
1311,9,256,90,2,1657
1290,10,256,104,0,1650
1321,5,256,74,1,1651
1321,8,256,98,0,1675
1323,7,256,97,0,1676
1310,4,256,75,0,1641
1308,5,256,64,2,1628
1304,7,256,68,0,1628
1318,6,256,85,0,1659
1296,9,256,89,1,1641
1307,12,256,131,1,1694
1306,9,256,95,0,1657
1321,5,256,74,0,1651
1298,3,256,33,0,1587
1319,6,256,75,2,1650
1322,11,256,145,0,1723
1310,8,256,94,0,1660
1282,4,256,59,0,1597
1320,5,256,62,0,1638
1303,7,256,95,1,1654
1312,2,256,42,1,1610
1313,8,256,103,2,1672
1297,8,256,108,0,1661
1286,7,256,87,0,1629
1302,3,256,27,0,1585
1301,3,256,42,0,1599
1283,8,256,97,1,1636
1309,2,256,28,0,1593
1306,6,256,58,0,1620
1325,4,256,82,0,1663
1320,7,256,79,2,1655
1303,7,256,82,1,1641
1301,6,256,60,0,1617
1290,12,256,120,0,1666
1322,3,256,42,0,1620
1333,4,256,57,1,1646
1299,12,256,143,0,1698
1320,3,256,28,0,1604
1306,6,256,66,0,1628
1320,7,256,91,1,1667
1274,11,256,112,0,1642
1318,9,256,101,0,1675
1329,6,256,57,1,1642
1283,2,256,42,0,1581
1302,9,256,103,0,1661
1303,4,256,37,0,1596
1318,6,256,51,2,1625
1300,9,256,101,1,1657
1309,7,256,91,1,1656
1307,14,256,143,1,1706
1328,4,256,70,0,1654
