recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
--new--train--round--
1317,119,256,754,98,2327
1317,119,256,754,98,2327
1289,114,256,842,101,2387
1276,112,256,794,96,2326
1284,107,256,807,85,2347
1303,118,256,862,83,2421
1292,108,256,742,77,2290
1307,118,256,926,98,2489
1307,127,256,863,79,2426
1306,123,256,904,100,2466
1313,113,256,853,91,2422
1291,126,256,936,98,2483
1302,121,256,885,103,2443
1274,125,256,944,90,2474
1276,126,256,885,105,2417
1274,126,256,751,91,2281
1296,109,256,743,94,2295
1282,132,256,913,103,2451
1301,112,256,788,84,2345
1259,123,256,871,98,2386
--new--train--round--
1317,119,512,1501,75,3330
1317,119,512,1501,75,3330
1289,114,512,1715,63,3516
1276,112,512,1556,70,3344
1284,107,512,1417,68,3213
1303,118,512,1620,55,3435
1292,108,512,1438,65,3242
1307,118,512,1690,64,3509
1307,127,512,1524,65,3343
1306,123,512,1662,70,3480
1313,113,512,1613,74,3438
1291,126,512,1733,68,3536
1302,121,512,1669,63,3483
1274,125,512,1722,62,3508
1276,126,512,1636,71,3424
1274,126,512,1496,75,3282
1296,109,512,1519,69,3327
1282,132,512,1656,84,3450
1301,112,512,1534,57,3347
1259,123,512,1702,61,3473
--new--train--round--
1317,119,768,2192,45,4277
1317,119,768,2192,45,4277
1289,114,768,2424,37,4481
1276,112,768,2211,45,4255
1284,107,768,2037,44,4089
1303,118,768,2309,36,4380
1292,108,768,2053,34,4113
1307,118,768,2336,34,4411
1307,127,768,2200,41,4275
1306,123,768,2342,46,4416
1313,113,768,2302,40,4383
1291,126,768,2321,47,4380
1302,121,768,2236,43,4306
1274,125,768,2333,41,4375
1276,126,768,2377,45,4421
1274,126,768,2130,42,4172
1296,109,768,2192,41,4256
1282,132,768,2436,42,4486
1301,112,768,2167,31,4236
1259,123,768,2342,43,4369
--new--train--round--
1317,119,1024,2775,32,5116
1317,119,1024,2775,32,5116
1289,114,1024,2919,23,5232
1276,112,1024,2828,31,5128
1284,107,1024,2542,24,4850
1303,118,1024,2819,26,5146
1292,108,1024,2558,23,4874
1307,118,1024,2828,24,5159
1307,127,1024,2682,21,5013
1306,123,1024,2891,27,5221
1313,113,1024,2745,32,5082
1291,126,1024,2814,31,5129
1302,121,1024,2740,27,5066
1274,125,1024,2877,22,5175
1276,126,1024,2890,24,5190
1274,126,1024,2686,28,4984
1296,109,1024,2712,24,5032
1282,132,1024,2867,30,5173
1301,112,1024,2618,19,4943
1259,123,1024,2798,31,5081
--new--train--round--
1317,119,1280,3260,18,5857
1317,119,1280,3260,18,5857
1289,114,1280,3217,18,5786
1276,112,1280,3214,22,5770
1284,107,1280,2915,20,5479
1303,118,1280,3334,16,5917
1292,108,1280,2985,15,5557
1307,118,1280,3265,21,5852
1307,127,1280,3147,20,5734
1306,123,1280,3390,17,5976
1313,113,1280,3321,22,5914
1291,126,1280,3245,24,5816
1302,121,1280,3158,22,5740
1274,125,1280,3226,14,5780
1276,126,1280,3323,20,5879
1274,126,1280,3137,21,5691
1296,109,1280,3085,15,5661
1282,132,1280,3282,18,5844
1301,112,1280,3012,12,5593
1259,123,1280,3259,19,5798
--new--train--round--
1317,119,1536,3653,9,6506
1317,119,1536,3653,9,6506
1289,114,1536,3586,12,6411
1276,112,1536,3578,12,6390
1284,107,1536,3307,16,6127
1303,118,1536,3694,8,6533
1292,108,1536,3395,5,6223
1307,118,1536,3656,14,6499
1307,127,1536,3549,12,6392
1306,123,1536,3747,13,6589
1313,113,1536,3655,11,6504
1291,126,1536,3714,15,6541
1302,121,1536,3552,16,6390
1274,125,1536,3596,11,6406
1276,126,1536,3711,12,6523
1274,126,1536,3462,14,6272
1296,109,1536,3514,7,6346
1282,132,1536,3627,15,6445
1301,112,1536,3270,6,6107
1259,123,1536,3607,15,6402
--new--train--round--
1317,119,1792,3895,3,7004
1317,119,1792,3895,3,7004
1289,114,1788,3857,8,6934
1276,112,1788,3778,7,6842
1284,107,1788,3592,12,6664
1303,118,1788,3892,5,6983
1292,108,1784,3582,4,6658
1307,118,1792,3891,10,6990
1307,127,1792,3833,9,6932
1306,123,1790,3977,8,7073
1313,113,1788,3876,6,6977
1291,126,1786,3956,11,7033
1302,121,1790,3774,10,6866
1274,125,1786,3861,7,6921
1276,126,1790,3934,7,7000
1274,126,1788,3708,12,6770
1296,109,1790,3733,5,6819
1282,132,1788,3892,8,6962
1301,112,1792,3460,3,6553
1259,123,1788,3923,12,6970
--new--train--round--
1317,119,1990,4003,1,7310
1317,119,1990,4003,1,7310
1289,114,1984,3969,4,7242
1276,112,1974,3857,5,7107
